respondent_id,bumo,region,gender,age_band,income_band,household_size,wash_freq_per_day,skin_type,benefits_sought,is_aware,awareness_channel,is_trialist,familiarity,is_repeater,trial_barriers,trial_drivers,concept_relevance,concept_purchase_intent,value_perception,price_index_vs_others,benefit_perception_pre,rating_suitable_for_daily_use,rating_rinses_off_cleanly,rating_controls_oil_throughout_the_,rating_deep_cleansing_feel,rating_refreshing_feel_during_wash,rating_gentle__non-irritating_on_s,rating_easy_to_lather,rating_attractive_packaging,rating_pleasant_scent,rating_leaves_skin_feeling_soft,rating_skin_looks_brighter_after_wa,rating_reduces_appearance_of_dark_s,rating_skin_feels_hydrated_not_tig,rating_long-lasting_matte_finish,rating_suitable_for_sensitive_skin,rating_visibly_improved_skin_textur,overall_product_rating,product_superiority,repeat_intent,recommend_intent,benefit_perception_post,suggested_improvements,purchase_channel,pack_size_bought,time_since_last_purchase,time_since_last_use
R1031,Functional / Anti-acne,Luzon,Female,18–24,"PHP 18,001–25,000",3,2,Normal,Controls excess oil|Prevents breakouts|Deep cleansing,True,TV ad,True,Bought within past 3 months,False,,Liked the product texture or scent|Attractive packaging,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,Better than BUMO,Might or might not,Definitely would recommend,Keeps skin hydrated|Controls oil / prevents breakouts,Offer more promotions / discounts|Improve the scent,Supermarket,100ml,1 month ago,1 month ago
R1032,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 60,001–100,000",2,2,Oily,Keeps skin hydrated|Prevents breakouts|Gentle / non-irritating,True,TV ad,False,"Seen/heard, don't want to buy",False,Did not like / relate to TV ad|Not recommended by friends / family,,Very relevant,Definitely would not,Average value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1033,Functional / Anti-acne,Luzon,Male,25–35,"PHP 18,001–25,000",5,2,Oily,Reduces dark spots & hyperpigmentation|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1034,Functional / Anti-acne,Visayas,Female,25–35,"PHP 25,001–40,000",2,2,Normal,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,TV ad,True,Bought within past 3 months,True,,Liked / related to TV ad|Liked price for perceived benefit|Product addresses my skin needs,,,,,,5,5,5,5,4,5,4,5,4,4,4,4,5,5,3,5,5,Better than BUMO,Might or might not,Definitely would recommend,Deep cleansing|Reduces dark spots,Improve moisturising effect — skin feels dry after use|Add more active skin ingredients,Drugstore,50ml travel,Less than 1 week,1 month ago
R1035,Functional / Anti-acne,Luzon,Female,25–35,"PHP 25,001–40,000",3,3,Combination,Keeps skin hydrated|Controls excess oil,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Did not like / relate to TV ad,,Somewhat relevant,Definitely would not,Average value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1036,Functional / Anti-acne,Luzon,Male,36–45,"PHP 60,001–100,000",2,2,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,YouTube,False,"Seen/heard, considering but haven't bought",False,Difficult to find in store,,Not sure,Might or might not,Average value,A little higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1037,Functional / Anti-acne,Visayas,Female,36–45,"PHP 25,001–40,000",3,2,Oily,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,TV ad,False,"Seen/heard, don't want to buy",False,Difficult to find in store,,Not sure,Probably would not,Very good value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1038,Functional / Anti-acne,Luzon,Female,36–45,"PHP 60,001–100,000",2,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,TikTok,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat relevant,Definitely would not,Average value,A little lower,Keeps skin hydrated|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1039,Functional / Anti-acne,Luzon,Female,25–35,"PHP 25,001–40,000",5,1,Dry,Controls excess oil|Prevents breakouts|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Very irrelevant,Definitely would buy,Very good value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1040,Functional / Anti-acne,Luzon,Male,18–24,"PHP 18,001–25,000",6,2,Combination,Keeps skin hydrated|Prevents breakouts|Deep cleansing,True,Beauty influencer,True,Bought within past 3 months,False,,Liked price for perceived benefit|Product addresses my skin needs,,,,,,5,5,5,5,5,5,5,4,5,5,4,2,4,1,3,5,5,Better than BUMO,Definitely would buy again,Probably would recommend,Brightens skin tone|Reduces dark spots,Strengthen brightening result — visible change takes too long,Beauty specialty store,100ml twin-pack,2 months ago,1 month ago
R1041,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 40,001–60,000",6,2,Sensitive,Brightens / evens skin tone|Keeps skin hydrated|Prevents breakouts,True,Beauty influencer,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat relevant,Probably would buy,Very good value,A little lower,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1042,Functional / Anti-acne,Luzon,Female,18–24,"PHP 18,001–25,000",3,1,Oily,Keeps skin hydrated|Prevents breakouts|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat irrelevant,Might or might not,Fairly good value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1043,Functional / Anti-acne,Visayas,Female,18–24,"PHP 25,001–40,000",2,2,Dry,Controls excess oil|Prevents breakouts|Gentle / non-irritating,True,TV ad,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash|Not convinced the brightening claim is real,,Somewhat irrelevant,Probably would buy,Fairly good value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1044,Functional / Anti-acne,Visayas,Female,25–35,"PHP 10,001–18,000",5,2,Combination,Keeps skin hydrated|Controls excess oil|Deep cleansing,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Not recommended by friends / family|Did not like / relate to TikTok content,,Very relevant,Might or might not,Fairly good value,A little lower,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1045,Functional / Anti-acne,Luzon,Female,25–35,"PHP 18,001–25,000",3,2,Combination,Controls excess oil|Gentle / non-irritating|Deep cleansing,True,Family / Friends,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Might or might not,Somewhat poor value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1046,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 18,001–25,000",6,2,Combination,Reduces dark spots & hyperpigmentation|Controls excess oil|Prevents breakouts,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Did not like / relate to TV ad,,Somewhat relevant,Probably would buy,Very good value,A little lower,Reduces dark spots,,,,,,,,,,,,,,,,,,,,,,,,,,
R1047,Functional / Anti-acne,Visayas,Male,46–59,"PHP 10,001–18,000",5,2,Oily,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Packaging not appealing,,Somewhat relevant,Probably would buy,Average value,A little higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1048,Functional / Anti-acne,Luzon,Male,25–35,"PHP 60,001–100,000",2,2,Oily,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Did not like / relate to TV ad,,Very relevant,Probably would not,Average value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1049,Functional / Anti-acne,Mindanao,Male,18–24,"PHP 18,001–25,000",4,1,Combination,Brightens / evens skin tone|Controls excess oil|Prevents breakouts,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Not recommended by friends / family,,Not sure,Probably would not,Average value,A lot higher,Keeps skin hydrated,,,,,,,,,,,,,,,,,,,,,,,,,,
R1050,Functional / Anti-acne,Luzon,Female,36–45,"PHP 40,001–60,000",5,2,Normal,Keeps skin hydrated|Controls excess oil|Deep cleansing,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1051,Functional / Anti-acne,Luzon,Female,46–59,"PHP 40,001–60,000",2,3,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Drugstore display,False,"Seen/heard, considering but haven't bought",False,Did not like / relate to TV ad,,Very relevant,Might or might not,Average value,A little lower,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1052,Functional / Anti-acne,Visayas,Male,36–45,"PHP 18,001–25,000",3,3,Combination,Controls excess oil|Prevents breakouts|Gentle / non-irritating,True,Drugstore display,True,Bought within past 3 months,False,,Liked / related to TV ad|Liked price for perceived benefit|Liked the product texture or scent,,,,,,5,5,5,5,5,5,5,5,5,3,2,5,3,3,5,5,5,Better than BUMO,Probably would buy again,Probably would recommend,Brightens skin tone|Keeps skin hydrated,Improve the scent,Drugstore,50ml travel,1 month ago,1 month ago
R1053,Functional / Anti-acne,Mindanao,Female,25–35,"PHP 25,001–40,000",5,2,Oily,Keeps skin hydrated|Controls excess oil|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash|Did not like / relate to TV ad,,Very relevant,Probably would not,Very good value,A lot higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1054,Functional / Anti-acne,Luzon,Female,46–59,"PHP 60,001–100,000",5,1,Combination,Reduces dark spots & hyperpigmentation|Controls excess oil|Prevents breakouts,True,YouTube,False,"Seen/heard, don't want to buy",False,Difficult to find in store,,Not sure,Probably would buy,Somewhat poor value,A little higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1055,Functional / Anti-acne,Visayas,Male,18–24,"PHP 60,001–100,000",4,2,Normal,Brightens / evens skin tone|Keeps skin hydrated|Controls excess oil,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1056,Functional / Anti-acne,Mindanao,Female,18–24,"PHP 60,001–100,000",4,1,Oily,Brightens / evens skin tone|Prevents breakouts|Gentle / non-irritating,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Not convinced the brightening claim is real,,Not sure,Might or might not,Very poor value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1057,Functional / Anti-acne,Luzon,Female,25–35,"PHP 40,001–60,000",4,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,TV ad,True,Bought within past 3 months,True,,Liked the product texture or scent|Product addresses my skin needs|Attractive packaging,,,,,,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,1,5,Better than BUMO,Definitely would not,Probably would not,Brightens skin tone|Controls oil / prevents breakouts,Add more active skin ingredients,Supermarket,100ml,Less than 1 week,More than 3 months
R1058,Functional / Anti-acne,Visayas,Female,46–59,"PHP 25,001–40,000",3,2,Oily,Controls excess oil|Prevents breakouts|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1059,Functional / Anti-acne,Luzon,Male,25–35,"PHP 18,001–25,000",6,3,Normal,Reduces dark spots & hyperpigmentation|Controls excess oil|Gentle / non-irritating,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Might or might not,Average value,A little higher,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1060,Functional / Anti-acne,Visayas,Female,46–59,"PHP 10,001–18,000",3,2,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Supermarket display,True,Regular buyer,False,,Product addresses my skin needs,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,Better than BUMO,Definitely would buy again,Probably would recommend,Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use|Strengthen brightening result — visible change takes too long,Supermarket,100ml twin-pack,1–2 weeks ago,1 month ago
R1061,Functional / Anti-acne,Mindanao,Male,25–35,"PHP 18,001–25,000",5,3,Combination,Keeps skin hydrated|Prevents breakouts|Gentle / non-irritating,True,Supermarket display,True,Bought within past 3 months,False,,Liked the product texture or scent|Product addresses my skin needs,,,,,,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,Same as BUMO,Might or might not,Probably would not,Controls oil / prevents breakouts|Reduces dark spots,Improve moisturising effect — skin feels dry after use,Supermarket,150ml,1 month ago,More than 3 months
R1062,Functional / Anti-acne,Visayas,Female,36–45,"PHP 60,001–100,000",2,2,Combination,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Drugstore display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat irrelevant,Probably would not,Somewhat poor value,A little lower,Brightens skin tone|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1063,Functional / Anti-acne,Visayas,Male,25–35,"PHP 100,001+",3,3,Oily,Keeps skin hydrated|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1064,Brightening / Whitening,Mindanao,Female,18–24,"PHP 10,001–18,000",3,2,Oily,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,TikTok,True,Bought within past 3 months,False,,Liked / related to TV ad|Product addresses my skin needs|Easy to find in store,,,,,,5,5,5,5,4,5,5,5,4,3,5,4,5,2,5,4,4,Better than BUMO,Definitely would not,Definitely would not,Keeps skin hydrated,Offer more promotions / discounts|Improve the scent,Drugstore,100ml,1 month ago,1 month ago
R1065,Brightening / Whitening,Luzon,Female,36–45,"PHP 25,001–40,000",6,2,Dry,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Definitely would buy,Average value,About the same,Keeps skin hydrated|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1066,Brightening / Whitening,Visayas,Male,25–35,"PHP 18,001–25,000",4,2,Oily,Reduces dark spots & hyperpigmentation|Keeps skin hydrated,True,Beauty influencer,True,Bought within past 3 months,False,,Liked the product texture or scent|Attractive packaging|Recommended by friends / family,,,,,,5,5,5,5,5,5,5,5,3,4,5,5,2,5,3,2,4,Better than BUMO,Might or might not,Definitely would recommend,Keeps skin hydrated|Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use,Supermarket,200ml,Less than 1 week,More than 3 months
R1067,Brightening / Whitening,Mindanao,Female,46–59,"PHP 100,001+",3,2,Oily,Keeps skin hydrated|Deep cleansing|Anti-aging / firming,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1068,Brightening / Whitening,Luzon,Female,25–35,"PHP 100,001+",3,2,Normal,Reduces dark spots & hyperpigmentation|Gentle / non-irritating|Anti-aging / firming,True,TV ad,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat relevant,Probably would not,Average value,A little higher,Gentle on skin,,,,,,,,,,,,,,,,,,,,,,,,,,
R1069,Brightening / Whitening,Luzon,Male,18–24,"PHP 100,001+",5,2,Combination,Brightens / evens skin tone|Reduces dark spots & hyperpigmentation|Controls excess oil,True,YouTube,True,Bought within past 3 months,False,,Liked / related to TV ad|Liked the product texture or scent|Easy to find in store,,,,,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,Better than BUMO,Probably would buy again,Definitely would recommend,Keeps skin hydrated|Deep cleansing,Improve moisturising effect — skin feels dry after use|Strengthen brightening result — visible change takes too long,Supermarket,200ml,Less than 1 week,More than 3 months
